,county_name,zip,lat,lng,city,state_name,avg_risk_score_all,MercatorX,MercatorY
22,Hampshire,1035,42.35563,-72.5692,Hadley,Massachusetts,2.88,-8078366.391275228,5214400.855215423
23,Hampden,1036,42.0638,-72.4157,Hampden,Massachusetts,2.08,-8061278.8494384615,5170541.1707934
24,Worcester,1037,42.37063,-72.19466,Hardwick,Massachusetts,1.52,-8036672.789193516,5216660.723938998
25,Hampshire,1038,42.38466,-72.60559,Hatfield,Massachusetts,3.51,-8082417.307545196,5218774.942993588
26,Hampshire,1039,42.41049,-72.69188,Haydenville,Massachusetts,2.49,-8092023.066405747,5222668.572350639
27,Hampden,1040,42.21251,-72.64109,Holyoke,Massachusetts,1.93,-8086369.149468358,5192865.758018168
28,Hampshire,1050,42.29092,-72.87526,Huntington,Massachusetts,2.76,-8112436.834627417,5204657.9582934985
29,Hampshire,1053,42.35205,-72.71032,Leeds,Massachusetts,2.38,-8094075.797815975,5213861.579616256
30,Franklin,1054,42.47381,-72.48768,Leverett,Massachusetts,2.32,-8069291.62638576,5232220.255159087
31,Hampden,1056,42.19211,-72.45805,Ludlow,Massachusetts,1.53,-8065993.229873556,5189800.171385969
32,Hampden,1057,42.09118,-72.32392,Monson,Massachusetts,1.81,-8051061.946573454,5174647.566454182
33,Hampshire,1060,42.32218,-72.63126,Northampton,Massachusetts,1.75,-8085274.878873858,5209363.289725317
34,Hampshire,1062,42.32146,-72.69244,Florence,Massachusetts,1.54,-8092085.405320592,5209254.88727482
35,Hampshire,1063,42.31962,-72.63951,Northampton,Massachusetts,1.0,-8086193.264672904,5208977.864425758
36,Hampshire,1066,42.40742,-72.64032,North Hatfield,Massachusetts,2.28,-8086283.433460446,5222205.714811971
37,Worcester,1068,42.35125,-72.04776,Oakham,Massachusetts,1.82,-8020319.955995983,5213741.075301495
38,Hampden,1069,42.18798,-72.30578,Palmer,Massachusetts,1.72,-8049042.611010464,5189179.660812976
39,Hampshire,1070,42.51958,-72.92504,Plainfield,Massachusetts,1.65,-8117978.318879107,5239130.577658201
40,Hampden,1071,42.16029,-72.8598,Russell,Massachusetts,2.57,-8110715.8352997545,5185020.431932185
41,Franklin,1072,42.46327,-72.41893,Shutesbury,Massachusetts,2.24,-8061638.411393723,5230629.649406092
42,Hampshire,1073,42.23084,-72.73856,Southampton,Massachusetts,1.54,-8097219.4602359785,5195621.122410663
43,Worcester,1074,42.3837,-72.10021,South Barre,Massachusetts,3.89,-8026158.663288092,5218630.262912776
44,Hampshire,1075,42.25672,-72.57928,South Hadley,Massachusetts,1.79,-8079488.491742425,5199512.765074707
45,Hampden,1077,42.05441,-72.77851,Southwick,Massachusetts,1.48,-8101666.673893169,5169133.285885356
46,Hampden,1079,42.18508,-72.33406,Thorndike,Massachusetts,2.25,-8052190.726210097,5188743.975436493
47,Hampden,1080,42.18228,-72.36515,Three Rivers,Massachusetts,1.74,-8055651.649178861,5188323.332656537
48,Hampden,1081,42.06232,-72.23085,Wales,Massachusetts,1.84,-8040701.441565325,5170319.253919494
49,Hampshire,1082,42.29816,-72.27676,Ware,Massachusetts,1.96,-8045812.1193876425,5205747.532872428
50,Worcester,1083,42.20652,-72.19906,Warren,Massachusetts,1.95,-8037162.594953006,5191965.514976321
51,Hampshire,1084,42.38589,-72.88165,West Chesterfield,Massachusetts,2.51,-8113148.166173586,5218960.317580358
52,Hampden,1085,42.15375,-72.76961,Westfield,Massachusetts,1.88,-8100675.930425108,5184038.344592295
53,Hampshire,1088,42.38981,-72.6465,West Hatfield,Massachusetts,2.19,-8086971.387913548,5219551.129115304
54,Hampden,1089,42.12532,-72.65025,West Springfield,Massachusetts,1.73,-8087388.836004023,5179770.296755465
55,Worcester,1092,42.20008,-72.23715,West Warren,Massachusetts,2.48,-8041402.754357322,5190997.736201416
56,Franklin,1093,42.44335,-72.65099,Whately,Massachusetts,1.83,-8087471.212427209,5227624.226178799
57,Worcester,1094,42.36481,-72.13548,Wheelwright,Massachusetts,1.93,-8030084.90172837,5215783.830814305
58,Hampden,1095,42.12763,-72.42994,Wilbraham,Massachusetts,1.54,-8062864.038987357,5180117.013515935
59,Hampshire,1096,42.40968,-72.77213,Williamsburg,Massachusetts,2.34,-8100956.455541908,5222546.448129038
60,Hampden,1097,42.17722,-72.83175,Woronoco,Massachusetts,2.88,-8107593.323583002,5187563.218307288
61,Hampshire,1098,42.39551,-72.94315,Worthington,Massachusetts,1.89,-8119994.314857373,5220410.283152449
62,Hampden,1103,42.10443,-72.58997,Springfield,Massachusetts,4.35,-8080678.497099005,5176635.410431643
63,Hampden,1104,42.13326,-72.56733,Springfield,Massachusetts,1.24,-8078158.223827445,5180962.09477166
64,Hampden,1105,42.09911,-72.57865,Springfield,Massachusetts,2.19,-8079418.360463224,5175837.222417344
65,Hampden,1106,42.04877,-72.57163,Longmeadow,Massachusetts,1.39,-8078636.897637855,5168287.75539097
66,Hampden,1107,42.12116,-72.60642,Springfield,Massachusetts,2.65,-8082509.702722554,5179145.938280071
67,Hampden,1108,42.0814,-72.55866,Springfield,Massachusetts,1.41,-8077193.083842268,5173180.5789105855
68,Hampden,1109,42.11839,-72.54876,Springfield,Massachusetts,1.34,-8076091.020883414,5178730.2223179815
69,Hampden,1118,42.09476,-72.5253,Springfield,Massachusetts,1.31,-8073479.465629404,5175184.618445354
70,Hampden,1119,42.12452,-72.51126,Springfield,Massachusetts,1.25,-8071916.539978664,5179650.224634114
71,Hampden,1128,42.09497,-72.48806,Springfield,Massachusetts,1.3,-8069333.927792263,5175216.122436375
72,Hampden,1129,42.1211,-72.4877,Springfield,Massachusetts,1.42,-8069293.852775577,5179136.933409637
73,Hampden,1151,42.15294,-72.50883,Indian Orchard,Massachusetts,1.94,-8071646.03361604,5183916.7169848075
74,Berkshire,1201,42.45614,-73.28114,Pittsfield,Massachusetts,1.81,-8157619.189550592,5229553.803233676
75,Berkshire,1220,42.62686,-73.11873,Adams,Massachusetts,3.53,-8139539.791050856,5255347.501492934
76,Berkshire,1222,42.06242,-73.32146,Ashley Falls,Massachusetts,1.58,-8162107.591419376,5170334.24813992
77,Berkshire,1223,42.31118,-73.09835,Becket,Massachusetts,1.81,-8137271.099828489,5207707.276446069
78,Berkshire,1224,42.50622,-73.19841,Berkshire,Massachusetts,1.45,-8148409.728077264,5237112.971443612
79,Berkshire,1225,42.56385,-73.1512,Cheshire,Massachusetts,2.72,-8143154.334916914,5245819.248560499
80,Berkshire,1226,42.47954,-73.15329,Dalton,Massachusetts,1.94,-8143386.992652671,5233085.089662025
81,Berkshire,1229,42.29411,-73.35227,Glendale,Massachusetts,1.32,-8165537.344930719,5205138.01784468
82,Berkshire,1230,42.18197,-73.34244,Great Barrington,Massachusetts,1.87,-8164443.074336219,5188276.762636991
83,Berkshire,1235,42.43181,-73.07336,Hinsdale,Massachusetts,1.46,-8134489.225753565,5225883.569733095
84,Berkshire,1236,42.26923,-73.37999,Housatonic,Massachusetts,1.87,-8168623.121215506,5201394.498765539
85,Berkshire,1237,42.5529,-73.25373,Lanesborough,Massachusetts,2.33,-8154567.922307948,5244164.392151973
86,Berkshire,1238,42.30072,-73.22553,Lee,Massachusetts,2.07,-8151428.712667579,5206132.826789907
87,Berkshire,1240,42.37567,-73.26466,Lenox,Massachusetts,1.44,-8155784.644342318,5217420.160953866
88,Berkshire,1242,42.3334,-73.24967,Lenox Dale,Massachusetts,1.81,-8154115.965175326,5211052.721561535
89,Hampshire,1243,42.34752,-73.03467,Middlefield,Massachusetts,2.36,-8130182.274654774,5213179.244179534
90,Berkshire,1244,42.10924,-73.27475,Mill River,Massachusetts,2.8,-8156907.858004423,5177357.138077272
91,Berkshire,1245,42.19043,-73.21579,Monterey,Massachusetts,1.8,-8150344.46082725,5189547.755413749
